 ,'(',')','*','+',"','",'-',':',':=',';','<','<=','<>','=','>','>=','and','call','do','else','goto','if','not','or','then','while','{','}',CNAME,$end,a,b_and,b_comparison,b_expr,b_not,e_list,expression,factor,id,l,label,m,n,negative,open_stmt,relop,s,start,stmt,term
70,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,79,,,,,,,,
71,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,,,80,,,
72,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,,,81,,,
73,,,,,,,,,r37,,,,,,,,,,r37,,,,,,,,r37,,r37,,,,,,,,,,,,,,,,,,,,
74,s36,,,,,s30,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,82,25,26,,,,,27,,,,,,28
75,,r3,,,,,,,,,,,,,,r3,,r3,,,,,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r8,,,,,,,,,,,,,,s39,,r8,,,,,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,r41,,,,,,,,,,,,,83,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,,,84,,,
80,,,,,,,,,r18,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,
82,,r12,,s43,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,r36,,,,,,,,,,r36,,,,,,,,r36,,r36,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,88,,,,,,,,
87,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,89,,,,,,,,
88,,,,,,,,,,,,,,,,,s8,,,s9,s10,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,90,,91,,,
89,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,,,91,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,r33,,,,,,,,,,r33,,,,,,,,r33,,r33,,,,,,,,,,,,,,,,,,,,
